,"FS, acc","FS, # known q.","FS, DS true/all","LR, acc","LR, # samples","LR, # correct","LR, # known q.","LR, DS true/all",known_qs,"CCS, random acc","CCS, acc","CCS, random acc, mean","CCS, random acc, std","CCS, # samples","CCS, # known q","CCS, DS true/all"
one,0.5887392900856793,275.0,0.5,0.9583843350410461,1634.0,1566.0,753.0,0.5,753.0,0.0,0.7461773753166199,0.6070336500803629,0.024765602477357016,1634.0,227.0,0.5
disj,0.38403519798868635,108.0,0.5135135135135135,0.8108108043670654,1591.0,1290.0,516.0,0.5135135135135135,516.0,0.0,0.5768024921417236,0.572100301583608,0.02100936353028052,1591.0,133.0,0.5135135135135135
conj,0.4437340153452685,77.0,0.47762148337595906,0.9405370950698853,1564.0,1471.0,726.0,0.47762148337595906,726.0,0.0,0.5623003244400024,0.5862619777520498,0.02242120297851079,1564.0,137.0,0.47762148337595906
